Date,Classical,Quantum,SP500
2024-10-30,100000.0,100000.0,100610.8399568564
2024-10-31,99374.63058627266,99014.57079843196,100501.01524301669
2024-11-01,97370.18007466916,96980.72443902104,101286.96214515349
2024-11-04,97724.0083771252,97304.26507379688,103084.37280126348
2024-11-05,97501.49803780472,96883.52581741972,102859.76646409312
2024-11-06,99116.71835952748,98724.48504084587,102635.66866089404
2024-11-07,102864.12216352532,104308.01552486003,104522.3976461564
2024-11-08,103904.13955308702,104812.81039928673,105481.7128207807
2024-11-11,106056.19597673551,105341.80751786484,104970.42727466812
2024-11-12,106476.93167865388,105495.04960868153,105666.1967854473
2024-11-13,105968.73838681448,105444.66323201163,105161.2737968501
2024-11-14,105052.439482545,105181.47170502556,104656.00662873533
2024-11-15,103511.30824816554,104125.72473028956,104992.97644287524
2024-11-18,101691.06700059502,102589.37950954326,102765.19679921532
2024-11-19,101424.9669362918,102563.20422514182,100804.17589156258
2024-11-20,101179.6864181884,103220.2612481206,100209.47653363839
2024-11-21,101282.54239603106,103212.51508241984,99106.34707242643
2024-11-22,102599.38208570534,104246.54773782942,99506.67926264551
2024-11-25,103229.0971896882,103349.45301050876,98529.54011483655
2024-11-26,103807.27622095616,103161.738020683,96998.60504298715
2024-11-27,104769.77134075394,104195.74797056471,98656.80448114395
2024-11-29,102863.97512904818,102158.48473451374,98451.21631518484
2024-12-02,103813.26119624743,102865.4795561846,98573.48173329097
2024-12-03,104773.12157070397,103293.20815082332,97027.95447660581
2024-12-04,105181.01549450825,103593.29825813588,96475.23188018978
2024-12-05,106572.16810912876,105148.20375002237,96642.51360553293
2024-12-06,106394.31696493328,105197.42716309598,95427.24849799478
2024-12-09,109008.42296760809,106930.95008419304,95879.21156497054
2024-12-10,107604.696936167,104702.98963125958,95271.87312700549
2024-12-11,106544.15884801836,102650.74662489376,95002.12932419508
2024-12-12,109370.93372379174,105311.504643467,94399.19629622929
2024-12-13,108586.67086759434,104475.83775144666,96426.80143956777
2024-12-16,118344.0226484074,110356.416886538,96457.96140686897
2024-12-17,124155.46551426446,115123.3277566386,95347.04309109553
2024-12-18,121518.29229592012,112806.35999468088,96281.72758997531
2024-12-19,115210.02340006136,107544.86555530476,94994.74174096878
2024-12-20,114688.6332596688,107097.148940774,95264.95248224662
2024-12-23,116301.0515293474,108110.51547291684,93193.47514591829
2024-12-24,118847.62561930712,110715.3094703816,91834.33929340182
2024-12-26,121364.0158489135,112568.27139161705,92083.06223092342
2024-12-27,122513.71465550143,113361.78309550576,92897.96182706057
2024-12-30,120933.13933982611,111839.21749087473,93122.71210856379
2024-12-31,118736.7088708548,109670.7854508844,93044.94181285135
2025-01-02,117624.37869939757,108450.85134750298,92771.57535393565
2025-01-03,117757.9059556868,108720.53884264092,91260.44949267081
2025-01-06,119030.43750777384,110236.51654654717,90559.01477583787
2025-01-07,119961.96174286108,110907.0382792434,90129.13455282003
2025-01-08,117647.24805700684,107955.59096459436,91252.39861950997
2025-01-10,117987.94166991756,107784.90195352818,91651.39568526407
2025-01-13,115536.3042545876,105761.13547639924,89862.83649530822
2025-01-14,115808.61120435593,104966.26939523204,90235.8532904156
2025-01-15,115621.24867350516,105420.89112168369,89884.81487202409
2025-01-16,117776.88346596029,108404.24314323028,89237.69961558752
2025-01-17,118249.16864100606,108818.63226403388,89899.1247745361
2025-01-21,120546.81276440456,110850.12473605436,90992.89382245194
