Date,Value
2022-11-01,99347.82121019263
2022-11-02,97735.98623603782
2022-11-03,97241.70534341517
2022-11-04,98875.20397629378
2022-11-07,100194.3661614314
2022-11-08,100733.63350697236
2022-11-09,99633.88020416166
2022-11-10,103153.69454810263
2022-11-11,103603.32131434407
2022-11-14,103005.55429552293
2022-11-15,105796.11150503674
2022-11-16,105507.137847179
2022-11-17,105185.54621123006
2022-11-18,105995.37440069918
2022-11-21,106174.80622277391
2022-11-22,107423.63857128947
2022-11-23,108114.81817261215
2022-11-25,108322.05618449322
2022-11-28,107033.47108135701
2022-11-29,106637.56771498072
2022-11-30,108772.64730752225
2022-12-01,108872.03655549313
2022-12-02,109247.87711741615
2022-12-05,108208.5974527905
2022-12-06,107844.29118642438
2022-12-07,107229.28494518464
2022-12-08,106902.85180841536
2022-12-09,105247.39915228605
2022-12-12,106908.63024643096
2022-12-13,107373.33011123551
2022-12-14,106834.03215230553
2022-12-15,104607.85971476127
2022-12-16,103007.13890704117
2022-12-19,102814.79955896968
2022-12-20,103607.65517199769
2022-12-21,105148.07760613255
2022-12-22,104311.52719280787
2022-12-23,104899.34211885268
2022-12-27,104866.25697596149
2022-12-28,103696.10655586795
2022-12-29,105090.20667208322
2022-12-30,104699.86663651638
2023-01-03,105719.91966201873
2023-01-04,107124.30610067798
2023-01-05,106583.6248818918
2023-01-06,108377.48700118363
2023-01-09,107861.60268132639
2023-01-10,108497.73119865502
2023-01-11,109858.0084193208
2023-01-12,109286.48912254514
2023-01-13,110145.14585195392
2023-01-17,109622.98937055918
2023-01-18,107772.66534026669
2023-01-19,107136.47033714948
2023-01-20,108868.74523994645
2023-01-23,109844.23497318965
2023-01-24,109654.25343869826
2023-01-25,109043.4192160463
2023-01-26,109569.99477826424
2023-01-27,110603.53533381912
2023-01-30,109165.00304815511
2023-01-31,110251.35555597488
2023-02-01,111080.55325234687
2023-02-02,112598.4994652044
2023-02-03,110882.87590063579
2023-02-06,110673.02490830266
2023-02-07,111478.40869047833
2023-02-08,109160.41269250604
2023-02-09,108351.92291002898
2023-02-10,109557.31183462183
2023-02-13,110722.83250087682
2023-02-14,110615.43432265238
2023-02-15,111364.92135557148
2023-02-16,110280.01720557924
2023-02-17,110610.6765557556
2023-02-21,109635.51719743726
2023-02-22,109151.08317456237
2023-02-23,108640.81687614025
2023-02-24,108547.36848539306
2023-02-27,108620.56896947588
2023-02-28,108592.94562766809
2023-03-01,107868.4669943694
2023-03-02,109031.93932161815
2023-03-03,110231.36035821603
2023-03-06,110796.95107948055
2023-03-07,109206.6968482043
2023-03-08,109059.23383257716
2023-03-09,109182.48140156297
2023-03-10,108644.94146411153
2023-03-13,108977.53545895408
2023-03-14,110801.94442983014
2023-03-15,111646.74371032158
2023-03-16,113312.84131761902
2023-03-17,113029.6427112051
2023-03-20,113585.54188870365
2023-03-21,114411.13349166696
2023-03-22,112391.5928083172
2023-03-23,113460.240724594
2023-03-24,114653.30384678436
2023-03-27,114883.45736642515
