Date,Value
2024-10-30,100000.0
2024-10-31,99014.57079843197
2024-11-01,96980.72443902105
2024-11-04,97304.26507379688
2024-11-05,96883.52581741971
2024-11-06,98724.48504084589
2024-11-07,104308.01552486003
2024-11-08,104812.81039928671
2024-11-11,105341.80751786483
2024-11-12,105495.04960868151
2024-11-13,105444.66323201165
2024-11-14,105181.47170502556
2024-11-15,104125.72473028957
2024-11-18,102589.37950954326
2024-11-19,102563.20422514182
2024-11-20,103220.2612481206
2024-11-21,103212.51508241984
2024-11-22,104246.54773782942
2024-11-25,103349.45301050876
2024-11-26,103161.738020683
2024-11-27,104195.74797056473
2024-11-29,102158.48473451374
2024-12-02,102865.4795561846
2024-12-03,103293.20815082331
2024-12-04,103593.29825813587
2024-12-05,105148.20375002235
2024-12-06,105197.42716309598
2024-12-09,106930.95008419304
2024-12-10,104702.98963125958
2024-12-11,102650.74662489376
2024-12-12,105311.50464346701
2024-12-13,104475.83775144666
2024-12-16,110356.416886538
2024-12-17,115123.32775663861
2024-12-18,112806.35999468087
2024-12-19,107544.86555530477
2024-12-20,107097.14894077399
2024-12-23,108110.51547291684
2024-12-24,110715.30947038159
2024-12-26,112568.27139161703
2024-12-27,113361.78309550577
2024-12-30,111839.21749087471
2024-12-31,109670.78545088439
2025-01-02,108450.85134750298
2025-01-03,108720.53884264092
2025-01-06,110236.51654654717
2025-01-07,110907.0382792434
2025-01-08,107955.59096459436
2025-01-10,107784.90195352818
2025-01-13,105761.13547639924
2025-01-14,104966.26939523203
2025-01-15,105420.89112168367
2025-01-16,108404.24314323028
2025-01-17,108818.63226403389
2025-01-21,110850.12473605435
2025-01-22,113215.28013378684
2025-01-23,114936.82202936776
2025-01-24,114963.54444645952
2025-01-27,114938.85195180039
2025-01-28,106104.89836285492
2025-01-29,108670.41043523898
2025-01-30,107055.46316922078
2025-01-31,109218.26278464751
2025-02-03,108942.50840875276
2025-02-04,107677.48275777082
2025-02-05,108992.53151790056
2025-02-06,111844.20591905148
2025-02-07,112929.46947771843
2025-02-10,113043.68114323549
2025-02-11,115006.16090304575
2025-02-12,114924.83446660051
2025-02-13,114802.07806378527
2025-02-14,115996.9837108365
2025-02-18,116131.6961860539
2025-02-19,117095.85573586597
2025-02-20,116657.49522927124
2025-02-21,114719.44505351188
2025-02-24,111226.23330317735
2025-02-25,109264.77864963195
2025-02-26,107527.8501284442
2025-02-27,109835.80653416153
2025-02-28,105963.7359113808
2025-03-03,107881.81275285571
2025-03-04,103618.62312169929
2025-03-05,102377.57599939569
2025-03-06,103516.95415655736
2025-03-07,99460.56714453666
2025-03-10,101509.1163778521
2025-03-11,96849.16104788506
2025-03-12,98333.36038623587
2025-03-13,100444.27835063853
2025-03-14,99240.21432707185
2025-03-17,102184.87181740298
2025-03-18,102502.16318895732
2025-03-19,100784.96331170628
2025-03-20,103204.43980503402
2025-03-21,102181.30649299051
2025-03-24,101965.63146658421
2025-03-25,103463.25268982918
2025-03-26,103638.5627836123
2025-03-27,100572.15702426786
2025-03-28,97556.40267689862
2025-03-31,95950.76296835448
2025-04-01,95771.72916932912
2025-04-02,96200.80815069396
2025-04-03,97394.6257620371
2025-04-04,90580.82659821263
2025-04-07,84762.55118064609
2025-04-08,86245.51197965945
2025-04-09,86164.60555610167
2025-04-10,97307.31014255168
2025-04-11,92971.84715407144
2025-04-14,94547.9884236018
2025-04-15,94695.47554216854
2025-04-16,95808.61506793092
2025-04-17,93339.80595905
2025-04-21,92576.73388555998
2025-04-22,89723.07246528177
2025-04-23,91935.2903153237
2025-04-24,94732.22102478957
2025-04-25,98505.36698041824
2025-04-28,99934.27527028645
2025-04-29,100020.78451750142
2025-04-30,101177.54563393892
2025-05-01,101412.47713023305
2025-05-02,102688.94550785815
2025-05-05,104979.61153542696
2025-05-06,104526.85501104545
2025-05-07,104315.99191567226
2025-05-08,105304.98879287406
2025-05-09,105795.17947534921
2025-05-12,105312.6663390386
2025-05-13,109686.14742485828
2025-05-14,112194.86423578995
2025-05-15,112805.11243103152
2025-05-16,112937.63698503126
2025-05-19,112808.77478475786
2025-05-20,113242.74428333103
2025-05-21,113113.88559509012
2025-05-22,109837.52201666491
2025-05-23,110755.24660045715
2025-05-27,110218.56396467306
2025-05-28,112413.85796057316
2025-05-29,112789.08216535409
2025-05-30,113525.2666157134
2025-06-02,114284.42000659648
2025-06-03,115836.67493940942
2025-06-04,118029.93385455379
2025-06-05,118092.0256211999
2025-06-06,118078.80399216802
2025-06-09,117499.75584101462
2025-06-10,116890.56900570614
2025-06-11,116743.26083242572
2025-06-12,117313.16562312936
2025-06-13,119139.10947486175
2025-06-16,117724.05579674729
2025-06-17,118871.4859807563
2025-06-18,118561.85370882277
2025-06-20,119461.88327123891
2025-06-23,119124.39003933106
2025-06-24,120931.8981827008
2025-06-25,123183.54635920204
2025-06-26,124400.61520923005
2025-06-27,125308.2442807937
2025-06-30,125130.6250604777
2025-07-01,127178.63761644323
2025-07-02,124686.77603366264
2025-07-03,126420.96177997821
2025-07-07,128808.98847832454
2025-07-08,127870.95079494818
2025-07-09,127819.75971316206
2025-07-10,129282.60299409201
2025-07-11,127389.51229354576
2025-07-14,126524.99943928282
2025-07-15,127275.01653994962
2025-07-16,127800.74919900393
2025-07-17,128494.07734734
2025-07-18,130166.96633010363
2025-07-21,129747.41144516491
2025-07-22,130698.45124614015
2025-07-23,128731.48998609954
2025-07-24,130779.73172175365
2025-07-25,132038.82485769776
2025-07-28,132762.16478651686
2025-07-29,133443.73941288586
2025-07-30,132349.03445443604
2025-07-31,131799.3816564209
2025-08-01,128954.42738850802
2025-08-04,126462.86176370812
2025-08-05,128550.80838337075
2025-08-06,127669.94709320164
2025-08-07,129564.14236726628
2025-08-08,128916.82021539424
2025-08-11,129584.09933487848
2025-08-12,129641.53132758779
