,Value
Total Return,0.5197834220285786
Annualized Return,0.5274670264417218
Annualized Volatility,0.318133053330434
Sharpe Ratio,1.6580076195159128
Sortino Ratio,2.2555280630550345
Calmar Ratio,1.910234777523686
Maximum Drawdown,-0.2761268052744273
VaR (95%),-0.029826585123773675
Win Rate,0.5622489959839357
Downside Deviation,0.23385522666797862
Skewness,0.5395719418937451
Excess Kurtosis,8.062098287439746
Best Day,0.12931881385094962
Worst Day,-0.07685785475436965
Best Month,0.11736993173447105
Worst Month,-0.09359921294521419
Average Recovery Days,11.210526315789474
Number of Rebalances,1.0
Avg Quarterly Turnover,0.10920321983332477
Total Transaction Costs,19.896510431686888
Total Taxes,596.6939647042993
Total Costs (% of Initial),0.006165904751359862
Number of Assets,15.0
HHI,0.18969565763902418
Effective N Assets,5.271601956766563
Max Weight,0.2797403526598382
Min Weight,0.01
Weight Std Dev,0.09056452247701914
