Date,Value
2024-10-30,100000.0
2024-10-31,101160.91848270445
2024-11-01,99657.72649619574
2024-11-04,99725.3041384185
2024-11-05,98957.91936420462
2024-11-06,100863.09900343396
2024-11-07,103697.72167068947
2024-11-08,104027.1227196031
2024-11-11,103894.21117214495
2024-11-12,99664.0160887164
2024-11-13,98165.44416285606
2024-11-14,97316.93794714299
2024-11-15,96450.64948773272
2024-11-18,94257.724877067
2024-11-19,94610.60383496486
2024-11-20,94560.34142153626
2024-11-21,94424.11743055203
2024-11-22,95743.65256166187
2024-11-25,97265.06834885626
2024-11-26,97772.18693311769
2024-11-27,98461.20408190782
2024-11-29,97424.62999157317
2024-12-02,98018.71342327485
2024-12-03,98677.25996532757
2024-12-04,98952.44192151721
2024-12-05,98989.6154531076
2024-12-06,98738.36172367977
2024-12-09,100976.9917612454
2024-12-10,100315.73637242355
2024-12-11,98806.9762104717
2024-12-12,101194.55620356332
2024-12-13,100227.28607180952
2024-12-16,110123.65155737111
2024-12-17,115555.44029836144
2024-12-18,113664.65259216473
2024-12-19,108368.37994685001
2024-12-20,107263.95816146777
2024-12-23,108885.78828004813
2024-12-24,112066.33564133178
2024-12-26,114348.27737828207
2024-12-27,115491.20592517611
2024-12-30,114188.92890017788
2024-12-31,111358.98653258201
2025-01-02,110846.78628921678
2025-01-03,111193.02009179196
2025-01-06,112094.40592650895
2025-01-07,112546.90313910585
2025-01-08,110885.81610124843
2025-01-10,110850.17380678246
2025-01-13,108371.96874630425
2025-01-14,109257.58901571741
2025-01-15,109247.87832617204
2025-01-16,110428.45421198863
2025-01-17,111120.00204147791
2025-01-21,112520.70496269265
2025-01-22,113754.19566994565
2025-01-23,113536.39731453145
2025-01-24,114116.19973847755
2025-01-27,114564.02999513077
2025-01-28,107457.07659346527
2025-01-29,108047.01288858797
2025-01-30,107894.28746141183
2025-01-31,109757.41191245645
2025-02-03,112098.32237537575
2025-02-04,112412.97697927154
2025-02-05,113334.64515643023
2025-02-06,115778.97147442315
2025-02-07,115815.80529375019
2025-02-10,113833.0891227758
2025-02-11,115376.06588642721
2025-02-12,115587.75575488835
2025-02-13,115754.33969524497
2025-02-14,115959.26274887659
2025-02-18,115464.72858428914
2025-02-19,115331.1229355332
2025-02-20,115367.8416433468
2025-02-21,115072.15416174658
2025-02-24,113039.6793814619
2025-02-25,111401.53688142856
2025-02-26,110403.57492769907
2025-02-27,112215.58129488124
2025-02-28,109413.9255690196
2025-03-03,111134.00507579838
2025-03-04,108791.4808022813
2025-03-05,107176.41693431261
2025-03-06,108928.8425939318
2025-03-07,105766.87441052208
2025-03-10,109213.14914762048
2025-03-11,106663.82356577109
2025-03-12,106575.7523225563
2025-03-13,107368.40094054464
2025-03-14,106195.40244896626
2025-03-17,107899.37294947717
2025-03-18,108264.17153112506
2025-03-19,106772.06703282331
2025-03-20,108439.8944516235
2025-03-21,107509.59696886712
2025-03-24,107350.71573002424
2025-03-25,107884.91661743892
2025-03-26,106023.29196428889
2025-03-27,104056.63645082957
2025-03-28,102676.09699058678
2025-03-31,101355.25098699151
2025-04-01,101845.79913606874
2025-04-02,101831.80565688753
2025-04-03,102948.64855832685
2025-04-04,95720.23369551761
2025-04-07,90133.52662764827
2025-04-08,91822.33135951434
2025-04-09,90371.77823098203
2025-04-10,101087.44626558837
2025-04-11,95850.90653333282
2025-04-14,98738.03296492784
2025-04-15,98824.26852848235
2025-04-16,98968.70579851208
2025-04-17,96623.98080033166
2025-04-21,95925.90152304423
2025-04-22,93426.39452892763
2025-04-23,95736.54250561316
2025-04-24,98638.60895663683
2025-04-25,102531.21950028893
2025-04-28,104250.92246641389
2025-04-29,105142.23287277772
2025-04-30,105224.30449861346
2025-05-01,105802.95789964256
2025-05-02,106881.96407681875
2025-05-05,109876.25339135111
2025-05-06,108878.92379320643
2025-05-07,107246.98154224848
2025-05-08,108678.81808754176
2025-05-09,109592.31664667101
2025-05-12,109551.72543039819
2025-05-13,114863.27257887965
2025-05-14,117456.97773098244
2025-05-15,115765.38608458913
2025-05-16,116552.35688918363
2025-05-19,116118.01188755536
2025-05-20,116818.11834309313
2025-05-21,116663.60724183318
2025-05-22,114881.41715301826
2025-05-23,115249.9279898545
2025-05-27,114715.68150263783
2025-05-28,117544.49435984704
2025-05-29,117944.30849823474
2025-05-30,119071.29870967349
2025-06-02,119118.92643903593
2025-06-03,120947.52173412943
2025-06-04,123113.09112009208
2025-06-05,124064.9693143336
2025-06-06,123735.10293937598
2025-06-09,121543.88847469061
2025-06-10,120789.78590570805
2025-06-11,120792.30846322334
2025-06-12,122996.30734286456
2025-06-13,123817.4284698301
2025-06-16,120967.81254753802
2025-06-17,122434.90541757301
2025-06-18,120780.28318598628
2025-06-20,121485.14293128587
2025-06-23,121483.05968498357
2025-06-24,122343.37004967294
2025-06-25,125848.57493159996
2025-06-26,126025.46743209782
2025-06-27,127916.41258825547
2025-06-30,125496.93833963953
2025-07-01,127555.23703190984
2025-07-02,126683.55604046755
2025-07-03,127993.70916298385
2025-07-07,128996.88181818464
2025-07-08,127973.09509293822
2025-07-09,127546.65626755953
2025-07-10,128942.5437753736
2025-07-11,129942.95465775864
2025-07-14,128773.71555390459
2025-07-15,128964.51848683346
2025-07-16,128522.75088170092
2025-07-17,129497.94302218937
2025-07-18,131013.10791539452
2025-07-21,129451.92696765947
2025-07-22,129108.932639051
2025-07-23,128008.00735600005
2025-07-24,130101.53515514292
2025-07-25,130898.73303587516
2025-07-28,131411.62139522837
2025-07-29,131732.18097516627
2025-07-30,132680.3043371205
2025-07-31,132941.01187168734
2025-08-01,130741.81918947728
2025-08-04,130338.3283764312
2025-08-05,132888.5755094955
2025-08-06,132056.10618925482
2025-08-07,133119.8183071715
2025-08-08,133887.96853851178
2025-08-11,134159.182144008
2025-08-12,133866.16609819353
2025-08-13,136144.43913079746
2025-08-14,136429.2209525895
2025-08-15,137545.44368306262
2025-08-18,136806.22163861705
2025-08-19,136829.9130781942
2025-08-20,134667.74855010418
2025-08-21,134797.0843296265
2025-08-22,134449.16880895605
2025-08-25,136511.5137049663
2025-08-26,135521.53320792475
2025-08-27,136723.356968848
2025-08-28,137268.30577244703
2025-08-29,139165.38445939243
2025-09-02,137624.6904626453
2025-09-03,137957.08448080785
2025-09-04,138241.61743352993
2025-09-05,139700.80797868676
2025-09-08,144624.88276717265
2025-09-09,146023.78887903487
2025-09-10,144427.1968781902
2025-09-11,150602.73039004934
2025-09-12,151007.01061790425
2025-09-15,150344.59464860908
2025-09-16,151147.8737420377
2025-09-17,150081.9298902186
2025-09-18,149190.34405501117
2025-09-19,149786.9637620567
2025-09-22,149784.11503825526
2025-09-23,148808.52610735456
2025-09-24,148836.7503556505
2025-09-25,148310.67036334187
2025-09-26,147246.80473582208
2025-09-29,147464.70193739634
2025-09-30,146854.65238793616
2025-10-01,148195.22530710086
2025-10-02,151147.92803342914
2025-10-03,150878.4139801831
2025-10-06,150501.46736526382
2025-10-07,149651.52363808345
2025-10-08,150034.86238881527
2025-10-09,151463.19204365116
2025-10-10,151375.98050210954
2025-10-13,146557.88679365962
2025-10-14,153236.23399905235
2025-10-15,151646.86461163562
2025-10-16,152760.65784290482
2025-10-17,152786.73699491678
2025-10-20,153958.14920111967
2025-10-21,154906.39798492292
2025-10-22,153951.20816842566
2025-10-23,152543.29809351542
2025-10-24,153471.42924408417
2025-10-27,155599.4715091355
2025-10-28,157529.65298063506
2025-10-29,159311.12237021286
