,Value
Total Return,0.578699167870538
Annualized Return,0.5874078703761572
Annualized Volatility,0.2974757294652571
Sharpe Ratio,1.9746413310157527
Sortino Ratio,2.8862028491346434
Calmar Ratio,2.669239139261648
Maximum Drawdown,-0.2200656590621712
VaR (95%),-0.02280636117814063
Win Rate,0.5903614457831325
Downside Deviation,0.2035227255604286
Skewness,0.9976299657394785
Excess Kurtosis,9.118716263663899
Best Day,0.11645606180812426
Worst Day,-0.06872539563057989
Best Month,0.1406779690105631
Worst Month,-0.07403884213575128
Average Recovery Days,9.571428571428571
Number of Rebalances,3.0
Avg Quarterly Turnover,0.18090915078686495
Total Transaction Costs,150.03455667939008
Total Taxes,3267.75255488057
Total Costs (% of Initial),0.0341778711155996
Number of Assets,15.0
HHI,0.2661205372169644
Effective N Assets,3.7576957060804137
Max Weight,0.39999999999999997
Min Weight,0.01
Weight Std Dev,0.11531229207397267
