Date,Value
2024-10-30,100000.0
2024-10-31,99374.63058627266
2024-11-01,97370.18007466917
2024-11-04,97724.00837712521
2024-11-05,97501.49803780473
2024-11-06,99116.71835952747
2024-11-07,102864.12216352533
2024-11-08,103904.13955308702
2024-11-11,106056.19597673553
2024-11-12,106476.93167865387
2024-11-13,105968.73838681448
2024-11-14,105052.43948254501
2024-11-15,103511.30824816554
2024-11-18,101691.06700059502
2024-11-19,101424.96693629179
2024-11-20,101179.6864181884
2024-11-21,101282.54239603106
2024-11-22,102599.38208570534
2024-11-25,103229.09718968821
2024-11-26,103807.27622095615
2024-11-27,104769.77134075394
2024-11-29,102863.97512904818
2024-12-02,103813.26119624743
2024-12-03,104773.12157070397
2024-12-04,105181.01549450825
2024-12-05,106572.16810912875
2024-12-06,106394.31696493327
2024-12-09,109008.42296760809
2024-12-10,107604.69693616699
2024-12-11,106544.15884801836
2024-12-12,109370.93372379174
2024-12-13,108586.67086759434
2024-12-16,118344.0226484074
2024-12-17,124155.46551426446
2024-12-18,121518.29229592012
2024-12-19,115210.02340006137
2024-12-20,114688.6332596688
2024-12-23,116301.0515293474
2024-12-24,118847.62561930713
2024-12-26,121364.0158489135
2024-12-27,122513.71465550143
2024-12-30,120933.13933982611
2024-12-31,118736.7088708548
2025-01-02,117624.37869939755
2025-01-03,117757.9059556868
2025-01-06,119030.43750777384
2025-01-07,119961.96174286108
2025-01-08,117647.24805700684
2025-01-10,117987.94166991756
2025-01-13,115536.30425458761
2025-01-14,115808.61120435591
2025-01-15,115621.24867350516
2025-01-16,117776.88346596027
2025-01-17,118249.16864100606
2025-01-21,120546.81276440455
2025-01-22,122283.68764235672
2025-01-23,122960.54217012692
2025-01-24,123031.41313320071
2025-01-27,123466.81358838094
2025-01-28,113809.98270946663
2025-01-29,115621.40584152327
2025-01-30,115199.09466902488
2025-01-31,118106.57946299673
2025-02-03,119161.26636213917
2025-02-04,118443.73125070603
2025-02-05,120038.58367801282
2025-02-06,123285.13980997627
2025-02-07,123180.02072731404
2025-02-10,121958.30107644742
2025-02-11,124348.74588051312
2025-02-12,124051.73100088978
2025-02-13,124066.32103609882
2025-02-14,124801.70702176243
2025-02-18,124718.04163255969
2025-02-19,124311.91203840113
2025-02-20,124327.57760241229
2025-02-21,123004.46010663797
2025-02-24,119511.36391757762
2025-02-25,116852.4481716577
2025-02-26,115498.37008702164
2025-02-27,117937.92943871875
2025-02-28,113708.35448923842
2025-03-03,115290.95682362991
2025-03-04,111758.44953824079
2025-03-05,110567.22054872612
2025-03-06,111854.46667600174
2025-03-07,106925.40676211908
2025-03-10,109602.9305392224
2025-03-11,104564.40548159316
2025-03-12,105501.81116321302
2025-03-13,106669.69491519837
2025-03-14,104035.75732467597
2025-03-17,106715.43511903542
2025-03-18,106693.40151121946
2025-03-19,104993.03929398005
2025-03-20,107606.84207854727
2025-03-21,106592.2145883623
2025-03-24,107002.23031782618
2025-03-25,108109.30387887268
2025-03-26,108180.30770006866
2025-03-27,105660.60333852629
2025-03-28,103469.50159890564
2025-03-31,101279.93432205849
2025-04-01,101313.76611161926
2025-04-02,101909.26937051404
2025-04-03,103579.35535983622
2025-04-04,94900.66429353692
2025-04-07,89885.69730335365
2025-04-08,92312.24267198084
2025-04-09,92317.36689744951
2025-04-10,105474.6472246661
2025-04-11,100157.15392333601
2025-04-14,103135.39600615844
2025-04-15,102657.21523411274
2025-04-16,103470.76373841087
2025-04-17,101047.4928311541
2025-04-21,100485.34244478273
2025-04-22,97350.96103661992
2025-04-23,99737.77354210647
2025-04-24,102746.96703150644
2025-04-25,106846.01486098337
2025-04-28,108034.92311287414
2025-04-29,108252.78435883968
2025-04-30,108679.35326660571
2025-05-01,108957.14106975595
2025-05-02,110329.95882195215
2025-05-05,113063.02493550758
2025-05-06,113064.95758336874
2025-05-07,112338.13367435416
2025-05-08,113448.76623837401
2025-05-09,112793.81568652714
2025-05-12,112847.36643950868
2025-05-13,118476.5151629441
2025-05-14,121776.8957443872
2025-05-15,121070.39575781977
2025-05-16,121264.91142561188
2025-05-19,121051.41425648134
2025-05-20,121581.6995115609
2025-05-21,121551.40226155566
2025-05-22,119591.8071250303
2025-05-23,119919.85462144869
2025-05-27,119087.22350541412
2025-05-28,121968.8248797147
2025-05-29,122600.5830788623
2025-05-30,122727.20096207954
2025-06-02,122893.57319140238
2025-06-03,124795.54051483623
2025-06-04,126889.75763688143
2025-06-05,127450.64523900616
2025-06-06,127232.84420546486
2025-06-09,125349.87270508532
2025-06-10,123957.14885455526
2025-06-11,123857.76961746381
2025-06-12,125586.94309433886
2025-06-13,126198.48796789681
2025-06-16,123143.77995325965
2025-06-17,124782.55167879509
2025-06-18,124020.4591938027
2025-06-20,124288.42502212865
2025-06-23,124171.64027819864
2025-06-24,126112.47466277065
2025-06-25,129524.10103025298
2025-06-26,129370.61962677643
2025-06-27,130874.22452550908
2025-06-30,129794.30764456536
2025-07-01,131953.51616685098
2025-07-02,129551.53013649183
2025-07-03,130772.5340245996
2025-07-07,132962.4748490918
2025-07-08,132481.69270514898
2025-07-09,131628.25676942198
2025-07-10,132758.57327201366
2025-07-11,131265.20983078366
2025-07-14,130241.93626909265
2025-07-15,131601.9680045181
2025-07-16,131864.2525250956
2025-07-17,131353.82172830083
2025-07-18,133192.94775007083
2025-07-21,132059.89473527655
2025-07-22,132843.67078447048
2025-07-23,130643.668175355
