,Value
Total Return,0.4772596591873324
Annualized Return,0.48422070926574534
Annualized Volatility,0.33341619874835904
Sharpe Ratio,1.4523010911992424
Sortino Ratio,2.0470751274147703
Calmar Ratio,1.7307696835641615
Maximum Drawdown,-0.27977189216106046
VaR (95%),-0.026915861316512853
Win Rate,0.5502008032128514
Downside Deviation,0.2365427153996359
Skewness,0.8969471655834365
Excess Kurtosis,10.323442176571444
Best Day,0.14252226606324592
Worst Day,-0.08378784590953865
Best Month,0.15194668397479505
Worst Month,-0.11065364093622188
Average Recovery Days,13.058823529411764
Number of Rebalances,2.0
Avg Quarterly Turnover,0.12636484071439327
Total Transaction Costs,57.00763080972949
Total Taxes,1843.7382658018428
Total Costs (% of Initial),0.019007458966115724
Number of Assets,15.0
HHI,0.2456462529222159
Effective N Assets,4.070894581553625
Max Weight,0.4
Min Weight,0.01
Weight Std Dev,0.10923356817863551
