Date,Value
2024-10-30,100000.0
2024-10-31,99354.76873868924
2024-11-01,97311.84448477613
2024-11-04,97513.79258806944
2024-11-05,97028.20258502969
2024-11-06,98976.70348387538
2024-11-07,104752.14529097929
2024-11-08,105339.31600371796
2024-11-11,107496.39084882272
2024-11-12,108327.789947226
2024-11-13,107532.33222511377
2024-11-14,106690.06335188191
2024-11-15,104980.73796843126
2024-11-18,103767.5974974403
2024-11-19,103244.00886532635
2024-11-20,102636.40657175561
2024-11-21,102630.20746116617
2024-11-22,104050.60959903554
2024-11-25,104609.07604991432
2024-11-26,105071.44258435395
2024-11-27,105923.8064622211
2024-11-29,104201.85788724366
2024-12-02,105127.307821349
2024-12-03,105888.79453295167
2024-12-04,106215.34532831442
2024-12-05,107283.82970248978
2024-12-06,107177.65558292145
2024-12-09,109643.2802128046
2024-12-10,108350.64927583703
2024-12-11,106678.07497701791
2024-12-12,109740.0000180773
2024-12-13,109204.59688478049
2024-12-16,118669.05657525336
2024-12-17,124358.94316950644
2024-12-18,121416.94879178214
2024-12-19,114931.67345728027
2024-12-20,114418.34210617394
2024-12-23,116244.31797856398
2024-12-24,118986.75499404577
2024-12-26,121695.73579512499
2024-12-27,122803.39374220352
2024-12-30,121313.6712280949
2024-12-31,119321.67378453133
2025-01-02,118281.08303125412
2025-01-03,118498.08944985233
2025-01-06,119709.66036412513
2025-01-07,120726.546022918
2025-01-08,118359.46799659188
2025-01-10,118607.35422432648
2025-01-13,115760.4109062352
2025-01-14,116137.61315512154
2025-01-15,116259.29002351435
2025-01-16,119165.34845746362
2025-01-17,119940.44745335019
2025-01-21,122463.61381244105
2025-01-22,124307.59448931375
2025-01-23,124705.83227695715
2025-01-24,124971.1697370387
2025-01-27,125529.48005172596
2025-01-28,115787.9361910827
2025-01-29,117694.0872522877
2025-01-30,117295.18651835278
2025-01-31,120220.30087631928
2025-02-03,121122.0199507341
2025-02-04,119938.90474737226
2025-02-05,121486.30094961193
2025-02-06,124840.54206910782
2025-02-07,125114.99405957744
2025-02-10,124018.63825524187
2025-02-11,126191.32006245326
2025-02-12,125795.17809667133
2025-02-13,125926.71685109189
2025-02-14,126471.75835803477
2025-02-18,126846.71794215072
2025-02-19,126906.63872306587
2025-02-20,126875.5545439865
2025-02-21,124982.4502894581
2025-02-24,121224.70900688299
2025-02-25,118601.58585853402
2025-02-26,116732.32070286623
2025-02-27,119387.23325610512
2025-02-28,115048.29000770526
2025-03-03,116842.98937579764
2025-03-04,112918.01318109945
2025-03-05,111203.1230191188
2025-03-06,112838.58264940786
2025-03-07,107479.76151800137
2025-03-10,110389.08571662773
2025-03-11,105072.49436940096
2025-03-12,106312.40411430868
2025-03-13,107474.5956308531
2025-03-14,105060.63802383545
2025-03-17,107847.10720205314
2025-03-18,108142.95741228631
2025-03-19,106752.60441654718
2025-03-20,109222.79661485723
2025-03-21,108484.64661289491
2025-03-24,108890.83834705724
2025-03-25,110134.79313159066
2025-03-26,110298.9623547076
2025-03-27,107484.34589793903
2025-03-28,104758.34669579376
2025-03-31,102356.90045456082
2025-04-01,102316.4617942417
2025-04-02,102825.87187728546
2025-04-03,104801.17185689422
2025-04-04,95287.08891808851
2025-04-07,89764.3299796769
2025-04-08,92004.50511805993
2025-04-09,92006.05987311769
2025-04-10,105337.97683989591
2025-04-11,99679.34259934361
2025-04-14,102568.08313704266
2025-04-15,102250.30581572802
2025-04-16,103134.97515194684
2025-04-17,100755.0124205096
2025-04-21,100486.83567296722
2025-04-22,97781.93078279715
2025-04-23,100283.43333454183
2025-04-24,103299.47194742823
2025-04-25,107701.48556421473
2025-04-28,108898.317483616
2025-04-29,109154.73642524048
2025-04-30,109485.4206627804
2025-05-01,109654.70527045363
2025-05-02,111146.0592482392
2025-05-05,113979.02485503445
2025-05-06,113644.16617950144
2025-05-07,112679.69514425364
2025-05-08,113833.52645643304
2025-05-09,113485.28976001273
2025-05-12,113566.0949280869
2025-05-13,119367.35114276761
2025-05-14,123101.97422256068
2025-05-15,122859.96088228657
2025-05-16,123105.54841983036
2025-05-19,122891.72576361884
2025-05-20,123092.21035377878
2025-05-21,122960.67754773344
2025-05-22,120959.89312095536
2025-05-23,121478.1255115444
2025-05-27,120855.28225851095
2025-05-28,123947.12524286986
2025-05-29,124343.10696823568
2025-05-30,124306.36873148437
2025-06-02,124245.38235763204
2025-06-03,125867.10730320662
2025-06-04,128107.32838372723
2025-06-05,128557.62237389394
2025-06-06,128876.90589479152
2025-06-09,127001.12902129236
2025-06-10,125714.84668313297
2025-06-11,125766.21275897986
2025-06-12,128015.27191768923
2025-06-13,128615.14547973714
2025-06-16,125675.25951532707
2025-06-17,127609.15798775855
2025-06-18,126858.72165678286
2025-06-20,127486.26005937441
2025-06-23,127517.3832593182
2025-06-24,129506.52720785691
2025-06-25,133121.5523068145
2025-06-26,133369.88719221638
2025-06-27,135488.85880708968
2025-06-30,135615.94261091194
2025-07-01,138476.63925815694
2025-07-02,135574.62719354636
2025-07-03,137259.31194900267
2025-07-07,139680.34219289245
2025-07-08,138860.1562286036
2025-07-09,137679.9466093662
2025-07-10,139016.3349596763
2025-07-11,137713.2972952751
2025-07-14,136778.0979839657
2025-07-15,138335.76045594263
2025-07-16,138882.30409675642
2025-07-17,138748.71295791102
2025-07-18,140431.38889063685
2025-07-21,139667.22758162417
2025-07-22,140762.69870488113
2025-07-23,138032.99661155083
2025-07-24,140121.94765450535
2025-07-25,140964.10154125874
2025-07-28,141684.82396637453
2025-07-29,142276.73521375743
2025-07-30,143114.0454745746
2025-07-31,143328.76412446925
2025-08-01,140383.16534985986
2025-08-04,137780.7188962656
2025-08-05,140989.22937045115
2025-08-06,139104.25927538177
2025-08-07,141377.98986891625
2025-08-08,137052.15429627028
2025-08-11,137318.3643078389
2025-08-12,136998.5917210713
2025-08-13,141274.3372963381
2025-08-14,140851.07019603267
